university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Accounting,Bachelor of Science in Business (B.S.B.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/accounting-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Accounting,Master of Science (M.S.),"Laramie Campus, Online",https://www.uwyo.edu/uw/degree-programs/accounting-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Acting Performance,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/acting-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Adapted Physical Education K-12,Endorsement,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/adapted-pe-k-12.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,African American and Diaspora Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/african-american-diaspora-studies.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Aging Studies,Undergraduate Minor,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/aging-studies.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agribusiness Leadership,Undergraduate Certificate,"Online, UW Casper",https://www.uwyo.edu/uw/degree-programs/agribusiness-leadership-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agricultural Business,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agriculture-business-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agricultural Communications,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agriculture-communications-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agricultural Economics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agricultural-economics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agriculture Economics,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agricultural-applied-economics-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agroecology,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agroecology-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Agronomy,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/agronomy-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Air Force ROTC Aerospace Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/aerospace-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,American Politics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/political-science-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,American Sign Language (ASL),Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/asl-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,American Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/american-studies-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,American Studies,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/american-studies-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Animal and Veterinary Science,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/animal-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Animal and Veterinary Science,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/animal-vet-science-ms-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Anthropology,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/anthropology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Anthropology,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/anthropology-ma-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Apparel Design,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/apparel-design-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Applied Computing,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/applied-computing-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Applied Economics,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/applied-economics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Applied Software Development,Bachelor of Science (B.S.),Online,https://www.uwyo.edu/uw/degree-programs/software-development-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Architectural Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/architectural-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Architectural Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/architectural-engineering-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Army ROTC Military Science,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/army-rotc-military-science-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Art Education,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/art-education-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Art History,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/art-history-minor.html
