college_name,program_name,degree,program_link
"College of Arts, Humanities, and Social Sciences",Ancient and Medieval Studies (Minor),Minor,https://catalog.uah.edu/#/programs/HyMHdbBH1h?bc=true&bcCurrent=Ancient%20and%20Medieval%20Studies%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art (BA),BA,https://catalog.uah.edu/#/programs/ry1zZBS1n?bc=true&bcCurrent=Art%20(BA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences","Art Education, 5 Years (Concentration)",Concentration,https://catalog.uah.edu/#/programs/ry1zZBS1n?bc=true&bcCurrent=Art%20Education%2C%205%20Years%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art History (Concentration),Concentration,https://catalog.uah.edu/#/programs/ry1zZBS1n?bc=true&bcCurrent=Art%20History%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art Studio (Concentration),Concentration,https://catalog.uah.edu/#/programs/ry1zZBS1n?bc=true&bcCurrent=Art%20Studio%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art (BFA),BFA,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Art%20(BFA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Digital Animation (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Digital%20Animation%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Drawing & Painting (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Drawing%20%26%20Painting%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Graphic Design (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Graphic%20Design%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Photography (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Photography%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Printmaking (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Printmaking%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Fine Arts Sculpture (Concentration),Concentration,https://catalog.uah.edu/#/programs/Bkez-rryh?bc=true&bcCurrent=Fine%20Arts%20Sculpture%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art History (Minor),Minor,https://catalog.uah.edu/#/programs/Skg8u-rBJ2?bc=true&bcCurrent=Art%20History%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Art Studio (Minor),Minor,https://catalog.uah.edu/#/programs/ryzruWBrkh?bc=true&bcCurrent=Art%20Studio%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Audio Production and Sound Design (Minor),Minor,https://catalog.uah.edu/#/programs/SJw03r7f3?bc=true&bcCurrent=Audio%20Production%20and%20Sound%20Design%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Communication Arts (BA),BA,https://catalog.uah.edu/#/programs/ByxkfWHry2?bc=true&bcCurrent=Communication%20Arts%20(BA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences","Communication Arts, General (Concentration)",Concentration,https://catalog.uah.edu/#/programs/ByxkfWHry2?bc=true&bcCurrent=Communication%20Arts%2C%20General%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Public Relations (Concentration),Concentration,https://catalog.uah.edu/#/programs/ByxkfWHry2?bc=true&bcCurrent=Public%20Relations%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Communication Arts (Minor),Minor,https://catalog.uah.edu/#/programs/SkBd-BBkh?bc=true&bcCurrent=Communication%20Arts%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Creative Writing (Minor),Minor,https://catalog.uah.edu/#/programs/SkZwOZrS12?bc=true&bcCurrent=Creative%20Writing%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Criminology and Intelligence Studies (Minor),Minor,https://catalog.uah.edu/#/programs/r1EOhRRJke?bc=true&bcCurrent=Criminology%20and%20Intelligence%20Studies%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Digital Fabrication (Minor),Minor,https://catalog.uah.edu/#/programs/HJn17mcAT?bc=true&bcCurrent=Digital%20Fabrication%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",English (BA),BA,https://catalog.uah.edu/#/programs/B1lGZHHkn?bc=true&bcCurrent=English%20(BA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences","English, General (Concentration)",Concentration,https://catalog.uah.edu/#/programs/B1lGZHHkn?bc=true&bcCurrent=English%2C%20General%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences","JUMP: BA EH, English (MA)",MA,https://catalog.uah.edu/#/programs/B1lGZHHkn?bc=true&bcCurrent=JUMP%3A%20BA%20EH%2C%20English%20(MA)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Language Arts (Concentration),Concentration,https://catalog.uah.edu/#/programs/B1lGZHHkn?bc=true&bcCurrent=Language%20Arts%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",English (MA),MA,https://catalog.uah.edu/#/programs/S1gzbBr1h?bc=true&bcCurrent=English%20(MA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Education (Concentration),Concentration,https://catalog.uah.edu/#/programs/S1gzbBr1h?bc=true&bcCurrent=Education%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences","English, General (Concentration)",Concentration,https://catalog.uah.edu/#/programs/S1gzbBr1h?bc=true&bcCurrent=English%2C%20General%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Language Arts (Concentration),Concentration,https://catalog.uah.edu/#/programs/S1gzbBr1h?bc=true&bcCurrent=Language%20Arts%20(Concentration)&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",English (Minor),Minor,https://catalog.uah.edu/#/programs/HJeS_-BSJ2?bc=true&bcCurrent=English%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Film and Media Arts (Minor),Minor,https://catalog.uah.edu/#/programs/S1UOWBSk2?bc=true&bcCurrent=Film%20and%20Media%20Arts%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Foreign Language French (Minor),Minor,https://catalog.uah.edu/#/programs/SkLuWSBJ3?bc=true&bcCurrent=Foreign%20Language%20French%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Foreign Language German (Minor),Minor,https://catalog.uah.edu/#/programs/ryeLdWHS12?bc=true&bcCurrent=Foreign%20Language%20German%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Foreign Language Russian (Minor),Minor,https://catalog.uah.edu/#/programs/HJxS_WBB12?bc=true&bcCurrent=Foreign%20Language%20Russian%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Foreign Language Spanish (Minor),Minor,https://catalog.uah.edu/#/programs/HJmrdZBH12?bc=true&bcCurrent=Foreign%20Language%20Spanish%20(Minor)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
"College of Arts, Humanities, and Social Sciences",Foreign Languages (BA),BA,https://catalog.uah.edu/#/programs/BJggMWHrkh?bc=true&bcCurrent=Foreign%20Languages%20(BA)&bcGroup=College%20of%20Arts%2C%20Humanities%2C%20and%20Social%20Sciences&bcItemType=programs
